phylum	class	order	family	species
Arthropoda	Insecta	Coleoptera	Cerambycidae	Callidium coriaceum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Callidium violaceum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Callimus abdominalis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Callimus angulatus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Cerambyx cerdo
Arthropoda	Insecta	Coleoptera	Cerambycidae	Cerambyx miles
Arthropoda	Insecta	Coleoptera	Cerambycidae	Cerambyx scopolii
Arthropoda	Insecta	Coleoptera	Cerambycidae	Cerambyx welensii
Arthropoda	Insecta	Coleoptera	Cerambycidae	Certallum ebulinum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Chlorophorus diadema
Arthropoda	Insecta	Coleoptera	Cerambycidae	Chlorophorus figuratus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Chlorophorus glabromaculatus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Chlorophorus herbstii
Arthropoda	Insecta	Coleoptera	Cerambycidae	Chlorophorus motschulskyi
Arthropoda	Insecta	Coleoptera	Cerambycidae	Chlorophorus pilosus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Chlorophorus ruficornis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Chlorophorus sartor
Arthropoda	Insecta	Coleoptera	Cerambycidae	Chlorophorus simillimus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Chlorophorus trifasciatus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Chlorophorus varius
Arthropoda	Insecta	Coleoptera	Cerambycidae	Clytus arietis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Clytus lama
Arthropoda	Insecta	Coleoptera	Cerambycidae	Clytus nigritulus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Clytus raddensis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Clytus rhamni
Arthropoda	Insecta	Coleoptera	Cerambycidae	Clytus ruricola
Arthropoda	Insecta	Coleoptera	Cerambycidae	Clytus tropicus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Cornumutila quadrivittata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Cortodera femorata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Cortodera humeralis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Cyrtoclytus capra
Arthropoda	Insecta	Coleoptera	Cerambycidae	Deilus fugax
Arthropoda	Insecta	Coleoptera	Cerambycidae	Deroplia genei
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dinoptera collaris
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dinoptera minuta
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion aethiops
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion arenarium
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion axillare
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion boluense
Arthropoda	Insecta	Coleoptera	Cerambycidae	Dorcadion cinerarium
