species	marker_code	kingdom
Phytomyza hendeli	COI-5P	Animalia
Phytomyza glechomae	COI-5P	Animalia
Phytomyza flavofemorata	COI-5P	Animalia
Phytomyza flavicornis	COI-5P	Animalia
Phytomyza eupatorii	COI-5P	Animalia
Phytomyza erigerophila	COI-5P	Animalia
Phytomyza cytisi	COI-5P	Animalia
Phytomyza crassiseta	COI-5P	Animalia
Phytomyza conyzae	COI-5P	Animalia
Phytomyza clematidis	COI-5P	Animalia
Phytomyza cirsii	COI-5P	Animalia
Phytomyza chaerophylli	COI-5P	Animalia
Phytomyza calthophila	COI-5P	Animalia
Phytomyza brunnipes	COI-5P	Animalia
Phytomyza brischkei	COI-5P	Animalia
Phytomyza aquilegiae	COI-5P	Animalia
Phytomyza angelicivora	COI-5P	Animalia
Phytomyza angelicae	COI-5P	Animalia
Phytomyza albiceps	COI-5P	Animalia
Phytomyza agromyzina	COI-5P	Animalia
Phytomyza affinis	COI-5P	Animalia
Phytomyza adjuncta	COI-5P	Animalia
Phytomyza aconiti	COI-5P	Animalia
Phytoliriomyza perpusilla	COI-5P	Animalia
Phytoliriomyza melampyga	COI-5P	Animalia
Phytoliriomyza hilarella	COI-5P	Animalia
Phytoliriomyza fasciata	COI-5P	Animalia
Phytobia mallochi	COI-5P	Animalia
Phytobia errans	COI-5P	Animalia
Phytobia carbonaria	COI-5P	Animalia
Phytobia cambii	COI-5P	Animalia
Ophiomyia rostrata	COI-5P	Animalia
Ophiomyia pulicaria	COI-5P	Animalia
Ophiomyia pinguis	COI-5P	Animalia
Ophiomyia melandryi	COI-5P	Animalia
Ophiomyia maura	COI-5P	Animalia
Nemorimyza posticata	COI-5P	Animalia
Napomyza nigritula	COI-5P	Animalia
Napomyza nigriceps	COI-5P	Animalia
Napomyza lateralis	COI-5P	Animalia
Napomyza gymnostoma	COI-5P	Animalia
Napomyza evanescens	COI-5P	Animalia
Napomyza elegans	COI-5P	Animalia
Napomyza cichorii	COI-5P	Animalia
Napomyza carotae	COI-5P	Animalia
Napomyza annulipes	COI-5P	Animalia
Napomyza albipennis	COI-5P	Animalia
Metopomyza xanthaspis	COI-5P	Animalia
Metopomyza ornata	COI-5P	Animalia
Metopomyza flavonotata	COI-5P	Animalia
Melanagromyza tripolii	COI-5P	Animalia
Melanagromyza lappae	COI-5P	Animalia
Melanagromyza dettmeri	COI-5P	Animalia
Melanagromyza cunctans	COI-5P	Animalia
Melanagromyza angeliciphaga	COI-5P	Animalia
Melanagromyza aeneoventris	COI-5P	Animalia
Liriomyza virgo	COI-5P	Animalia
Liriomyza valerianae	COI-5P	Animalia
Liriomyza trifolii	COI-5P	Animalia
Liriomyza taraxaci	COI-5P	Animalia
Liriomyza tanaceti	COI-5P	Animalia
Liriomyza strigata	COI-5P	Animalia
Liriomyza sonchi	COI-5P	Animalia
Liriomyza pusio	COI-5P	Animalia
Liriomyza pusilla	COI-5P	Animalia
Liriomyza puella	COI-5P	Animalia
Liriomyza ptarmicae	COI-5P	Animalia
Liriomyza orbona	COI-5P	Animalia
Liriomyza lutea	COI-5P	Animalia
Liriomyza hieracii	COI-5P	Animalia
Liriomyza flaveola	COI-5P	Animalia
Liriomyza eupatorii	COI-5P	Animalia
Liriomyza erucifolii	COI-5P	Animalia
Liriomyza equiseti	COI-5P	Animalia
Liriomyza congesta	COI-5P	Animalia
Liriomyza cicerina	COI-5P	Animalia
Liriomyza cepae	COI-5P	Animalia
Liriomyza cannabis	COI-5P	Animalia
Liriomyza bryoniae	COI-5P	Animalia
Liriomyza artemisicola	COI-5P	Animalia
Liriomyza amoena	COI-5P	Animalia
Hexomyza simplicoides	COI-5P	Animalia
Hexomyza sarothamni	COI-5P	Animalia
Gymnophytomyza heteroneura	COI-5P	Animalia
Chromatomyia syngenesiae	COI-5P	Animalia
Chromatomyia succisae	COI-5P	Animalia
Chromatomyia ramosa	COI-5P	Animalia
Chromatomyia primulae	COI-5P	Animalia
Chromatomyia periclymeni	COI-5P	Animalia
Chromatomyia nigra	COI-5P	Animalia
Chromatomyia milii	COI-5P	Animalia
Chromatomyia lonicerae	COI-5P	Animalia
Chromatomyia horticola	COI-5P	Animalia
Chromatomyia gentianae	COI-5P	Animalia
Chromatomyia fuscula	COI-5P	Animalia
Chromatomyia asteris	COI-5P	Animalia
Cerodontha superciliosa	COI-5P	Animalia
Cerodontha pygmaea	COI-5P	Animalia
Cerodontha phragmitidis	COI-5P	Animalia
Cerodontha muscina	COI-5P	Animalia
Cerodontha morosa	COI-5P	Animalia
Cerodontha luctuosa	COI-5P	Animalia
Cerodontha lineella	COI-5P	Animalia
Cerodontha lateralis	COI-5P	Animalia
Cerodontha iraeos	COI-5P	Animalia
Cerodontha incisa	COI-5P	Animalia
Cerodontha hirtae	COI-5P	Animalia
Cerodontha geniculata	COI-5P	Animalia
Cerodontha fulvipes	COI-5P	Animalia
Cerodontha flavocingulata	COI-5P	Animalia
Cerodontha denticornis	COI-5P	Animalia
Cerodontha caricicola	COI-5P	Animalia
Cerodontha capitata	COI-5P	Animalia
Cerodontha biseta	COI-5P	Animalia
Cerodontha bimaculata	COI-5P	Animalia
Cerodontha atronitens	COI-5P	Animalia
Cerodontha atra	COI-5P	Animalia
Cerodontha angulata	COI-5P	Animalia
Cerodontha affinis	COI-5P	Animalia
Calycomyza humeralis	COI-5P	Animalia
Calycomyza artemisiae	COI-5P	Animalia
Aulagromyza trivittata	COI-5P	Animalia
Aulagromyza tripolii	COI-5P	Animalia
Aulagromyza tridentata	COI-5P	Animalia
Aulagromyza similis	COI-5P	Animalia
Aulagromyza populi	COI-5P	Animalia
Aulagromyza orphana	COI-5P	Animalia
Aulagromyza luteoscutellata	COI-5P	Animalia
Aulagromyza lucens	COI-5P	Animalia
Aulagromyza hendeliana	COI-5P	Animalia
Aulagromyza discrepans	COI-5P	Animalia
Aulagromyza cornigera	COI-5P	Animalia
Aulagromyza anteposita	COI-5P	Animalia
Amauromyza verbasci	COI-5P	Animalia
Amauromyza monfalconensis	COI-5P	Animalia
Amauromyza luteiceps	COI-5P	Animalia
Amauromyza labiatarum	COI-5P	Animalia
Amauromyza flavifrons	COI-5P	Animalia
Amauromyza chenopodivora	COI-5P	Animalia
Agromyza vicifoliae	COI-5P	Animalia
Agromyza spiraeoidarum	COI-5P	Animalia
Agromyza rufipes	COI-5P	Animalia
Agromyza ruficornis	COI-5P	Animalia
Agromyza riparia	COI-5P	Animalia
Agromyza reptans	COI-5P	Animalia
Agromyza pseudoreptans	COI-5P	Animalia
Agromyza phragmitidis	COI-5P	Animalia
Agromyza nigripes	COI-5P	Animalia
Agromyza nana	COI-5P	Animalia
Agromyza mobilis	COI-5P	Animalia
Agromyza lucida	COI-5P	Animalia
Agromyza lathyri	COI-5P	Animalia
Agromyza johannae	COI-5P	Animalia
Agromyza intermittens	COI-5P	Animalia
Agromyza igniceps	COI-5P	Animalia
Agromyza hendeli	COI-5P	Animalia
Agromyza frontella	COI-5P	Animalia
Agromyza flavipennis	COI-5P	Animalia
Agromyza flaviceps	COI-5P	Animalia
Agromyza ferruginosa	COI-5P	Animalia
Agromyza demeijerei	COI-5P	Animalia
Agromyza cinerascens	COI-5P	Animalia
Agromyza bicophaga	COI-5P	Animalia
Agromyza anthracina	COI-5P	Animalia
Agromyza ambigua	COI-5P	Animalia
Agromyza alnivora	COI-5P	Animalia
Agromyza alnibetulae	COI-5P	Animalia
Agromyza albitarsis	COI-5P	Animalia
Agromyza albipennis	COI-5P	Animalia
Agromyza abiens	COI-5P	Animalia
Paracrocera orbicula	COI-5P	Animalia
Ogcodes zonatus	COI-5P	Animalia
Ogcodes varius	COI-5P	Animalia
Ogcodes reginae	COI-5P	Animalia
Ogcodes gibbosus	COI-5P	Animalia
Ogcodes fumatus	COI-5P	Animalia
Acrocera sanguinea	COI-5P	Animalia
Acartophthalmus nigrinus	COI-5P	Animalia
Acartophthalmus bicolor	COI-5P	Animalia
Uscana giraulti	COI-5P	Animalia
Ufensia foersteri	COI-5P	Animalia
Trichogramma evanescens	COI-5P	Animalia
Trichogramma embryophagum	COI-5P	Animalia
Trichogramma dendrolimi	COI-5P	Animalia
Trichogramma cacaeciae	COI-5P	Animalia
Trichogramma brassicae	COI-5P	Animalia
Prestwichia aquatica	COI-5P	Animalia
Oligosita pallida	COI-5P	Animalia
Oligosita impudica	COI-5P	Animalia
Chaetostricha krygeri	COI-5P	Animalia
Torymus wachtliellae	COI-5P	Animalia
Torymus ventralis	COI-5P	Animalia
Torymus varians	COI-5P	Animalia
Torymus tipulariarum	COI-5P	Animalia
Torymus tanaceticola	COI-5P	Animalia
Torymus stenus	COI-5P	Animalia
Torymus speciosus	COI-5P	Animalia
Torymus scutellaris	COI-5P	Animalia
Torymus scaposus	COI-5P	Animalia
Torymus salicis	COI-5P	Animalia
Torymus ruschkai	COI-5P	Animalia
Torymus rubi	COI-5P	Animalia
Torymus rosariae	COI-5P	Animalia
Torymus roboris	COI-5P	Animalia
Torymus regalis	COI-5P	Animalia
Torymus pulchellus	COI-5P	Animalia
Torymus persicariae	COI-5P	Animalia
Torymus pascuorum	COI-5P	Animalia
Torymus partitus	COI-5P	Animalia
Torymus notatus	COI-5P	Animalia
Torymus nobilis	COI-5P	Animalia
Torymus nigritarsus	COI-5P	Animalia
Torymus narvikensis	COI-5P	Animalia
Torymus microstigma	COI-5P	Animalia
Torymus microcerus	COI-5P	Animalia
Torymus laetus	COI-5P	Animalia
Torymus janetiellae	COI-5P	Animalia
Torymus impar	COI-5P	Animalia
Torymus igniceps	COI-5P	Animalia
Torymus hylesini	COI-5P	Animalia
Torymus heyeri	COI-5P	Animalia
Torymus hederae	COI-5P	Animalia
Torymus geranii	COI-5P	Animalia
Torymus galii	COI-5P	Animalia
Torymus fuscicornis	COI-5P	Animalia
Torymus formosus	COI-5P	Animalia
Torymus flavipes	COI-5P	Animalia
Torymus filipendulae	COI-5P	Animalia
Torymus fastuosus	COI-5P	Animalia
Torymus fagineus	COI-5P	Animalia
Torymus erucarum	COI-5P	Animalia
Torymus epilobii	COI-5P	Animalia
Torymus eadyi	COI-5P	Animalia
Torymus druparum	COI-5P	Animalia
Torymus cyaneus	COI-5P	Animalia
Torymus curvatulus	COI-5P	Animalia
Torymus curticauda	COI-5P	Animalia
Torymus cupreus	COI-5P	Animalia
Torymus cultriventris	COI-5P	Animalia
Torymus confinis	COI-5P	Animalia
Torymus cingulatus	COI-5P	Animalia
Torymus chloromerus	COI-5P	Animalia
Torymus chlorocopes	COI-5P	Animalia
Torymus caudatus	COI-5P	Animalia
Torymus calcaratus	COI-5P	Animalia
Torymus bedeguaris	COI-5P	Animalia
Torymus baudysi	COI-5P	Animalia
Torymus basalis	COI-5P	Animalia
Torymus azureus	COI-5P	Animalia
Torymus auratus	COI-5P	Animalia
Torymus arundinis	COI-5P	Animalia
Torymus armatus	COI-5P	Animalia
Torymus anthobiae	COI-5P	Animalia
Torymus amurensis	COI-5P	Animalia
Torymus affinis	COI-5P	Animalia
Pseudotorymus papaveris	COI-5P	Animalia
Pseudotorymus krygeri	COI-5P	Animalia
Pseudotorymus arvernicus	COI-5P	Animalia
Monodontomerus vicicellae	COI-5P	Animalia
Monodontomerus rugulosus	COI-5P	Animalia
Monodontomerus obscurus	COI-5P	Animalia
Monodontomerus minor	COI-5P	Animalia
Monodontomerus dentipes	COI-5P	Animalia
Monodontomerus aereus	COI-5P	Animalia
Megastigmus suspectus	COI-5P	Animalia
Megastigmus spermotrophus	COI-5P	Animalia
Megastigmus specularis	COI-5P	Animalia
Megastigmus rafni	COI-5P	Animalia
Megastigmus pinus	COI-5P	Animalia
Megastigmus pictus	COI-5P	Animalia
Megastigmus milleri	COI-5P	Animalia
Bootanomyia dorsalis	COI-5P	Animalia
Megastigmus brevicaudis	COI-5P	Animalia
Megastigmus bipunctatus	COI-5P	Animalia
Megastigmus aculeatus	COI-5P	Animalia
Glyphomerus tibialis	COI-5P	Animalia
Glyphomerus stigma	COI-5P	Animalia
Cryptopristus caliginosus	COI-5P	Animalia
Platynocheilus cuprifrons	COI-5P	Animalia
Foersterella reptans	COI-5P	Animalia
Epiclerus temenus	COI-5P	Animalia
Xiphydriophagus meyerinckii	COI-5P	Animalia
Xestomnaster chrysochlorus	COI-5P	Animalia
Vrestovia fidenas	COI-5P	Animalia
Veltrusia rara	COI-5P	Animalia
Urolepis maritima	COI-5P	Animalia
Trychnosoma punctipleura	COI-5P	Animalia
Tritneptis diprionis	COI-5P	Animalia
Tritneptis affinis	COI-5P	Animalia
Trigonoderus princeps	COI-5P	Animalia
Trigonoderus filatus	COI-5P	Animalia
Trigonoderus cyanescens	COI-5P	Animalia
Trichomalus tenellus	COI-5P	Animalia
Trichomalus rugosus	COI-5P	Animalia
Trichomalus rufinus	COI-5P	Animalia
Trichomalus robustus	COI-5P	Animalia
Trichomalus repandus	COI-5P	Animalia
Trichomalus posticus	COI-5P	Animalia
Trichomalus pexatus	COI-5P	Animalia
Trichomalus perfectus	COI-5P	Animalia
Trichomalus oxygyne	COI-5P	Animalia
Trichomalus nanus	COI-5P	Animalia
Trichomalus lucidus	COI-5P	Animalia
Trichomalus lonchaeae	COI-5P	Animalia
Trichomalus lepidus	COI-5P	Animalia
Trichomalus inscitus	COI-5P	Animalia
Trichomalus helvipes	COI-5P	Animalia
Trichomalus gynetelus	COI-5P	Animalia
Trichomalus germanus	COI-5P	Animalia
Trichomalus fulvipes	COI-5P	Animalia
Trichomalus coryphe	COI-5P	Animalia
Trichomalus conifer	COI-5P	Animalia
Trichomalus campestris	COI-5P	Animalia
Trichomalus bracteatus	COI-5P	Animalia
Trichomalus apertus	COI-5P	Animalia
Trichomalopsis tigasis	COI-5P	Animalia
Trichomalopsis submarginata	COI-5P	Animalia
Trichomalopsis peregrina	COI-5P	Animalia
Trichomalopsis microptera	COI-5P	Animalia
Trichomalopsis maurus	COI-5P	Animalia
Trichomalopsis littoralis	COI-5P	Animalia
Trichomalopsis hemiptera	COI-5P	Animalia
Trichomalopsis acuminatus	COI-5P	Animalia
Toxeuma subtruncatum	COI-5P	Animalia
Toxeuma fuscicorne	COI-5P	Animalia
Toxeuma acilius	COI-5P	Animalia
Tomicobia pityophthori	COI-5P	Animalia
Thinodytes cyzicus	COI-5P	Animalia
Theocolax formiciformis	COI-5P	Animalia
Theocolax elegans	COI-5P	Animalia
Systasis parvula	COI-5P	Animalia
Systasis encyrtoides	COI-5P	Animalia
Systasis annulipes	COI-5P	Animalia
Systasis angustula	COI-5P	Animalia
Syntomopus thoracicus	COI-5P	Animalia
Syntomopus incurvus	COI-5P	Animalia
Syntomopus incisus	COI-5P	Animalia
Synedrus transiens	COI-5P	Animalia
Stinoplus pervasus	COI-5P	Animalia
Stinoplus etearchus	COI-5P	Animalia
Stictomischus tumidus	COI-5P	Animalia
Stictomischus scaposus	COI-5P	Animalia
Stictomischus obscurus	COI-5P	Animalia
Stictomischus groschkei	COI-5P	Animalia
Stictomischus gibbus	COI-5P	Animalia
Stichocrepis armata	COI-5P	Animalia
Stenomalina micans	COI-5P	Animalia
Stenomalina liparae	COI-5P	Animalia
Stenomalina laticeps	COI-5P	Animalia
Stenomalina illudens	COI-5P	Animalia
Stenomalina gracilis	COI-5P	Animalia
Stenomalina fontana	COI-5P	Animalia
Stenomalina favorinus	COI-5P	Animalia
Stenomalina epistena	COI-5P	Animalia
Stenomalina dives	COI-5P	Animalia
Stenomalina communis	COI-5P	Animalia
Staurothyreus cruciger	COI-5P	Animalia
Spintherus dubius	COI-5P	Animalia
Spilomalus quadrinota	COI-5P	Animalia
Sphegigaster pedunculiventris	COI-5P	Animalia
Sphegigaster pallicornis	COI-5P	Animalia
Sphegigaster obliqua	COI-5P	Animalia
Sphegigaster nigricornis	COI-5P	Animalia
Sphegigaster intersita	COI-5P	Animalia
Sphaeripalpus viridis	COI-5P	Animalia
Sphaeripalpus fuscipes	COI-5P	Animalia
Spaniopus peisonis	COI-5P	Animalia
Spaniopus dissimilis	COI-5P	Animalia
Spalangiopelta alata	COI-5P	Animalia
Spalangia subpunctata	COI-5P	Animalia
Spalangia fuscipes	COI-5P	Animalia
Spalangia erythromera	COI-5P	Animalia
Spalangia cameroni	COI-5P	Animalia
Semiotellus mundus	COI-5P	Animalia
Semiotellus fumipennis	COI-5P	Animalia
Semiotellus diversus	COI-5P	Animalia
Seladerma tarsale	COI-5P	Animalia
Seladerma simplex	COI-5P	Animalia
Seladerma laetum	COI-5P	Animalia
Seladerma geniculatum	COI-5P	Animalia
Seladerma gelanor	COI-5P	Animalia
Seladerma diffine	COI-5P	Animalia
Seladerma convexum	COI-5P	Animalia
Seladerma breve	COI-5P	Animalia
Seladerma bicolor	COI-5P	Animalia
Seladerma aeneum	COI-5P	Animalia
Scutellista caerulea	COI-5P	Animalia
Schizonotus latus	COI-5P	Animalia
Schimitschekia populi	COI-5P	Animalia
Sceptrothelys parviclava	COI-5P	Animalia
Sceptrothelys grandiclava	COI-5P	Animalia
Sceptrothelys deione	COI-5P	Animalia
Roptrocerus xylophagorum	COI-5P	Animalia
Roptrocerus mirus	COI-5P	Animalia
Rhopalicus tutela	COI-5P	Animalia
Rhopalicus quadratus	COI-5P	Animalia
Rhopalicus guttatus	COI-5P	Animalia
Rhicnocoelia impar	COI-5P	Animalia
Rhicnocoelia constans	COI-5P	Animalia
Rhaphitelus maculatus	COI-5P	Animalia
Rakosina deplanata	COI-5P	Animalia
Pteromalus vibulenus	COI-5P	Animalia
Pteromalus varians	COI-5P	Animalia
Pteromalus tripolii	COI-5P	Animalia
Pteromalus temporalis	COI-5P	Animalia
Pteromalus squamifer	COI-5P	Animalia
Pteromalus sequester	COI-5P	Animalia
Pteromalus semotus	COI-5P	Animalia
Pteromalus puparum	COI-5P	Animalia
Pteromalus platyphilus	COI-5P	Animalia
Pteromalus patro	COI-5P	Animalia
Pteromalus parietinae	COI-5P	Animalia
Pteromalus ochrocerus	COI-5P	Animalia
Pteromalus musaeus	COI-5P	Animalia
Pteromalus microps	COI-5P	Animalia
Pteromalus intermedius	COI-5P	Animalia
Pteromalus hieracii	COI-5P	Animalia
Pteromalus elevatus	COI-5P	Animalia
Pteromalus dolichurus	COI-5P	Animalia
Pteromalus dispar	COI-5P	Animalia
Pteromalus decipiens	COI-5P	Animalia
Pteromalus crassinervis	COI-5P	Animalia
Pteromalus conopidarum	COI-5P	Animalia
Pteromalus cioni	COI-5P	Animalia
Pteromalus chrysos	COI-5P	Animalia
Pteromalus chlorogaster	COI-5P	Animalia
Pteromalus caudiger	COI-5P	Animalia
Pteromalus cardui	COI-5P	Animalia
Pteromalus capreae	COI-5P	Animalia
Pteromalus berylli	COI-5P	Animalia
Pteromalus bedeguaris	COI-5P	Animalia
Pteromalus apum	COI-5P	Animalia
Pteromalus altus	COI-5P	Animalia
Pteromalus albipennis	COI-5P	Animalia
Pteromalus aartseni	COI-5P	Animalia
Psychophagus omnivorus	COI-5P	Animalia
Psychophagoides crassicornis	COI-5P	Animalia
Psilonotus hortensia	COI-5P	Animalia
Psilonotus adamas	COI-5P	Animalia
Psilonotus achaeus	COI-5P	Animalia
Psilocera rufipes	COI-5P	Animalia
Psilocera punctifrons	COI-5P	Animalia
Psilocera obscura	COI-5P	Animalia
Psilocera crassispina	COI-5P	Animalia
Psilocera confusa	COI-5P	Animalia
Psilocera concolor	COI-5P	Animalia
Pseudocatolaccus nitescens	COI-5P	Animalia
Plutothrix trifasciata	COI-5P	Animalia
Plutothrix coelius	COI-5P	Animalia
Plutothrix bicolorata	COI-5P	Animalia
Plutothrix acuminata	COI-5P	Animalia
Platygerrhus unicolor	COI-5P	Animalia
Platygerrhus subglaber	COI-5P	Animalia
Platygerrhus millenius	COI-5P	Animalia
Platygerrhus longigena	COI-5P	Animalia
Platygerrhus ductilis	COI-5P	Animalia
Platygerrhus dolosus	COI-5P	Animalia
Platygerrhus affinis	COI-5P	Animalia
Perniphora robusta	COI-5P	Animalia
Panstenon oxylum	COI-5P	Animalia
Panstenon agyllum	COI-5P	Animalia
Pandelus flavipes	COI-5P	Animalia
Pachyneuron solitarium	COI-5P	Animalia
Pachyneuron planiscuta	COI-5P	Animalia
Pachyneuron muscarum	COI-5P	Animalia
Pachyneuron groenlandicum	COI-5P	Animalia
Aegla uruguayana sp.1	COI-5P	Animalia
Pachyneuron formosum	COI-5P	Animalia
Pachyneuron aphidis	COI-5P	Animalia
Pachycrepoideus vindemmiae	COI-5P	Animalia
Oxysychus pilosulus	COI-5P	Animalia
Ormocerus vernalis	COI-5P	Animalia
Ormocerus latus	COI-5P	Animalia
Norbanus scabriculus	COI-5P	Animalia
Nodisoplata diffinis	COI-5P	Animalia
Nazgulia petiolata	COI-5P	Animalia
Nasonia vitripennis	COI-5P	Animalia
Muscidifurax raptor	COI-5P	Animalia
Moranila californica	COI-5P	Animalia
Miscogaster rufipes	COI-5P	Animalia
Miscogaster maculata	COI-5P	Animalia
Miscogaster hortensis	COI-5P	Animalia
Miscogaster elegans	COI-5P	Animalia
Micradelus rotundus	COI-5P	Animalia
Micradelus acutus	COI-5P	Animalia
Metacolus unifasciatus	COI-5P	Animalia
Metacolus azureus	COI-5P	Animalia
Mesopolobus tibialis	COI-5P	Animalia
Mesopolobus teliformis	COI-5P	Animalia
Mesopolobus subfumatus	COI-5P	Animalia
Mesopolobus spermotrophus	COI-5P	Animalia
Mesopolobus sericeus	COI-5P	Animalia
Mesopolobus semiclavatus	COI-5P	Animalia
Mesopolobus rhabdophagae	COI-5P	Animalia
Mesopolobus prasinus	COI-5P	Animalia
Mesopolobus pinus	COI-5P	Animalia
Mesopolobus phragmitis	COI-5P	Animalia
Mesopolobus nobilis	COI-5P	Animalia
Mesopolobus morys	COI-5P	Animalia
Mesopolobus mesostenus	COI-5P	Animalia
Mesopolobus longicollis	COI-5P	Animalia
Mesopolobus laticornis	COI-5P	Animalia
Mesopolobus incultus	COI-5P	Animalia
Mesopolobus graminum	COI-5P	Animalia
Mesopolobus fuscipes	COI-5P	Animalia
Mesopolobus fasciiventris	COI-5P	Animalia
Mesopolobus dubius	COI-5P	Animalia
Mesopolobus diffinis	COI-5P	Animalia
Mesopolobus amaenus	COI-5P	Animalia
Mesopolobus agropyricola	COI-5P	Animalia
Mesopolobus aequus	COI-5P	Animalia
Merisus splendidus	COI-5P	Animalia
Merismus splendens	COI-5P	Animalia
Merismus rufipes	COI-5P	Animalia
Merismus nitidus	COI-5P	Animalia
Merismus megapterus	COI-5P	Animalia
Meraporus graminicola	COI-5P	Animalia
Melancistrus mucronatus	COI-5P	Animalia
Macroglenes varicornis	COI-5P	Animalia
Macroglenes penetrans	COI-5P	Animalia
Macroglenes paludum	COI-5P	Animalia
Macroglenes herbaceus	COI-5P	Animalia
Macroglenes gramineus	COI-5P	Animalia
Macroglenes conjugens	COI-5P	Animalia
Macroglenes chalybeus	COI-5P	Animalia
Macroglenes bouceki	COI-5P	Animalia
Leptomeraporus nicaee	COI-5P	Animalia
Lariophagus distinguendus	COI-5P	Animalia
Lamprotatus truncatus	COI-5P	Animalia
Lamprotatus splendens	COI-5P	Animalia
Lamprotatus simillimus	COI-5P	Animalia
Lamprotatus picinervis	COI-5P	Animalia
Lamprotatus novickyi	COI-5P	Animalia
Lamprotatus crassipes	COI-5P	Animalia
Lamprotatus claviger	COI-5P	Animalia
Lamprotatus brevicornis	COI-5P	Animalia
Lamprotatus annularis	COI-5P	Animalia
Lampoterma viride	COI-5P	Animalia
Janssoniella ambigua	COI-5P	Animalia
Isocyrtus laetus	COI-5P	Animalia
Homoporus subniger	COI-5P	Animalia
Homoporus nypsius	COI-5P	Animalia
Homoporus luniger	COI-5P	Animalia
Homoporus fulviventris	COI-5P	Animalia
Homoporus febriculosus	COI-5P	Animalia
Homoporus destructor	COI-5P	Animalia
Homoporus apharetus	COI-5P	Animalia
Holcaeus stylatus	COI-5P	Animalia
Holcaeus stenogaster	COI-5P	Animalia
Holcaeus gracilis	COI-5P	Animalia
Holcaeus gorgasus	COI-5P	Animalia
Holcaeus compressus	COI-5P	Animalia
Holcaeus calligetus	COI-5P	Animalia
Hobbya stenonota	COI-5P	Animalia
Heteroprymna longicornis	COI-5P	Animalia
Hemitrichus seniculus	COI-5P	Animalia
Halticoptera violacea	COI-5P	Animalia
Halticoptera poreia	COI-5P	Animalia
Halticoptera polita	COI-5P	Animalia
Halticoptera patellana	COI-5P	Animalia
Halticoptera mustela	COI-5P	Animalia
Halticoptera laevigata	COI-5P	Animalia
Halticoptera flavicornis	COI-5P	Animalia
Halticoptera dimidiata	COI-5P	Animalia
Halticoptera crius	COI-5P	Animalia
Halticoptera collaris	COI-5P	Animalia
Halticoptera circula	COI-5P	Animalia
Halticoptera aenea	COI-5P	Animalia
Habritys brevicornis	COI-5P	Animalia
Glyphognathus umbelliferae	COI-5P	Animalia
Gastrancistrus venustus	COI-5P	Animalia
Gastrancistrus unicolor	COI-5P	Animalia
Gastrancistrus terminalis	COI-5P	Animalia
Gastrancistrus salicis	COI-5P	Animalia
Gastrancistrus puncticollis	COI-5P	Animalia
Gastrancistrus praecox	COI-5P	Animalia
Gastrancistrus latifrons	COI-5P	Animalia
Gastrancistrus laticornis	COI-5P	Animalia
Gastrancistrus indivisus	COI-5P	Animalia
Gastrancistrus hirtulus	COI-5P	Animalia
Gastrancistrus hamillus	COI-5P	Animalia
Gastrancistrus glabellus	COI-5P	Animalia
Gastrancistrus fuscicornis	COI-5P	Animalia
Gastrancistrus fulvicornis	COI-5P	Animalia
Gastrancistrus dispar	COI-5P	Animalia
Gastrancistrus crassus	COI-5P	Animalia
Gastrancistrus compressus	COI-5P	Animalia
Gastrancistrus coactus	COI-5P	Animalia
Gastrancistrus clavatus	COI-5P	Animalia
Gastrancistrus autumnalis	COI-5P	Animalia
Gastrancistrus atropurpureus	COI-5P	Animalia
Gastrancistrus alectus	COI-5P	Animalia
Gastrancistrus affinis	COI-5P	Animalia
Gastrancistrus acutus	COI-5P	Animalia
Gastrancistrus acontes	COI-5P	Animalia
Gastracanthus pulcherrimus	COI-5P	Animalia
Eunotus cretaceus	COI-5P	Animalia
Eunotus areolatus	COI-5P	Animalia
Euneura sopolis	COI-5P	Animalia
Euneura lachni	COI-5P	Animalia
Eumacepolus saxeseni	COI-5P	Animalia
Eumacepolus obscurior	COI-5P	Animalia
Eulonchetron torymoides	COI-5P	Animalia
Erythromalus rufiventris	COI-5P	Animalia
Erythromalus nubilipennis	COI-5P	Animalia
Epicopterus choreiformis	COI-5P	Animalia
Endomychobius endomychi	COI-5P	Animalia
Ecrizotes filicornis	COI-5P	Animalia
Dipara petiolata	COI-5P	Animalia
Dinotoides tenebricus	COI-5P	Animalia
Dinotiscus eupterus	COI-5P	Animalia
Dinotiscus aponius	COI-5P	Animalia
Dinarmus acutus	COI-5P	Animalia
Dimachus cingulum	COI-5P	Animalia
Diglochis sylvicola	COI-5P	Animalia
Dibrachys lignicola	COI-5P	Animalia
Dibrachys fuscicornis	COI-5P	Animalia
Dibrachys cavus	COI-5P	Animalia
Dibrachys boarmiae	COI-5P	Animalia
Dibrachys affinis	COI-5P	Animalia
Dibrachoides dynastes	COI-5P	Animalia
Cyrtogaster vulgaris	COI-5P	Animalia
Cyrtogaster clavicornis	COI-5P	Animalia
Cyclogastrella simplex	COI-5P	Animalia
Cyclogastrella flavius	COI-5P	Animalia
Cryptoprymna atra	COI-5P	Animalia
Cratomus megacephalus	COI-5P	Animalia
Coruna clavata	COI-5P	Animalia
Conomorium amplum	COI-5P	Animalia
Coelopisthia pachycerus	COI-5P	Animalia
Coelopisthia extentus	COI-5P	Animalia
Cleonymus laticornis	COI-5P	Animalia
Chlorocytus ultonicus	COI-5P	Animalia
Chlorocytus spicatus	COI-5P	Animalia
